Brand Name,Outside Model,Inside model,Furnace model,Rated heating capacity (Btu/hour),AHRI / Verification reference,Product group,AHRI Classification,Indoor type/ducting configuration
"1HVAC","ACIQ-36Z-HH-M5C","-","-","36000","216032303","ccASHP","HMSV-A-CB","Multi-Split, mixed ducted and non-ducted indoor units"
"1HVAC","ACIQ-36Z-HH-M5C","-","-","36000","216032302","ccASHP","HMSV-A-CB","Multi-split, ducted indoor units"
"1HVAC","ACIQ-36Z-HH-M5C","-","-","36000","216032301","ccASHP","HMSV-A-CB-O","Multi-split, non-ducted indoor units"
"1HVAC","ACIQ-27Z-HH-M4C","-","-","27400","216032300","ccASHP","HMSV-A-CB","Multi-Split, mixed ducted and non-ducted indoor units"
"1HVAC","ACIQ-27Z-HH-M4C","-","-","28000","216032299","ccASHP","HMSV-A-CB","Multi-split, ducted indoor units"
"1HVAC","ACIQ-27Z-HH-M4C","-","-","27000","216032298","ccASHP","HMSV-A-CB-O","Multi-split, non-ducted indoor units"
"1HVAC","ACIQ-18Z-HH-M3C","-","-","20000","216032297","ccASHP","HMSV-A-CB","Multi-Split, mixed ducted and non-ducted indoor units"
"1HVAC","ACIQ-24-EHPD","ACIQ-24-AHD","-","26000","216032222","ccASHP","HRCU-A-CB","Centrally ducted system"
"1HVAC","ACIQ-36-EHPD","ACIQ-36-AHD","-","36000","216032224","ccASHP","HRCU-A-CB","Centrally ducted system"
"1HVAC","ACIQ-48-EHPD","ACIQ-48-AHD","-","48000","216032225","ccASHP","HRCU-A-CB","Centrally ducted system"
"1HVAC","ACIQ-60-EHPD","ACIQ-60-AHD","-","54000","216032226","ccASHP","HRCU-A-CB","Centrally ducted system"
"1HVAC","ACIQ-18-HPD","ACIQ-18-AHD","-","19000","216032227","ccASHP","HRCU-A-CB","Centrally ducted system"
"1HVAC","ACIQ-09Z-HP115C","ACIQ-09W-HP115C","-","10000","216032259","ASHP","HRCU-A-CB-O","Mini-split, non-ducted indoor unit"
"1HVAC","ACIQ-24-HPD","ACIQ-24-AHD","-","24000","216032228","ccASHP","HRCU-A-CB","Centrally ducted system"
"1HVAC","ACIQ-30-HPD","ACIQ-30-AHD","-","34000","216032229","ccASHP","HRCU-A-CB","Centrally ducted system"
"1HVAC","ACIQ-18Z-HH-M3C","-","-","20000","216032296","ccASHP","HMSV-A-CB","Multi-split, ducted indoor units"
"1HVAC","ACIQ-18Z-HH-M3C","-","-","20000","216032295","ccASHP","HMSV-A-CB-O","Multi-split, non-ducted indoor units"
"1HVAC","ACIQ-18ZPL-HP230C","SCC-1218-HH-MB","-","20000","216032294","ccASHP","HRCU-A-CB-O","Mini-Split, non-ducted indoor unit ceiling placement "
"1HVAC","ACIQ-36-HPD","ACIQ-36-AHD","-","37000","216032230","ccASHP","HRCU-A-CB","Centrally ducted system"
"1HVAC","ACIQ-09ZPL-HP230C","SCC-0609-HH-MB","-","10900","216032293","ccASHP","HRCU-A-CB-O","Mini-Split, non-ducted indoor unit ceiling placement "
"1HVAC","ACIQ-06ZPL-HP230C","SCC-0609-HH-MB","-","7400","216032292","ccASHP","HRCU-A-CB-O","Mini-Split, non-ducted indoor unit ceiling placement "
"1HVAC","ACIQ-60ZPL-HP230C","ACIQ-60FM-HH-MD","-","60000","216032291","ccASHP","HRCU-A-CB-O","Mini-Split, non-ducted indoor unit floor placement "
"1HVAC","ACIQ-42-HPD","ACIQ-42-AHD","-","50000","216032231","ccASHP","HRCU-A-CB","Centrally ducted system"
"1HVAC","ACIQ-48ZPL-HP230C","ACIQ-48FM-HH-MD","-","52000","216032290","ccASHP","HRCU-A-CB-O","Mini-Split, non-ducted indoor unit floor placement "
